Project Code,Country,Managed By,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
126-NG-T01,Nigeria,PMO - US,From RDC,Air,18-Aug-08,18-Aug-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,1300,3770.0,2.9,0.05,65.0,1020.98,6.03
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,21-Feb-09,21-Feb-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,27150,105885.0,3.9,0.06,1047.0,5869.655000000001,207.53
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,21-Feb-09,21-Feb-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,6,19.2,3.2,0.05,1047.0,5869.655000000001,0.04
113-ZW-T01,Zimbabwe,PMO - US,From RDC,Truck,16-Feb-09,16-Feb-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,8000,16000.0,2.0,0.07,1047.0,5869.655000000001,31.36
110-ZM-T01,Zambia,PMO - US,From RDC,Truck,20-Aug-08,20-Aug-08,ARV,Pediatric,SCMS from RDC,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,3600,27900.0,7.75,0.13,750.0,813.75,44.64
112-NG-T01,Nigeria,PMO - US,From RDC,Air,10-Sep-08,10-Sep-08,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,196,2677.36,13.66,0.46,12.0,900.0,4.28
117-ET-T01,Ethiopia,PMO - US,From RDC,Air,3-Feb-09,3-Feb-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,22918,163176.16,7.12,0.12,1689.0,9189.57,319.83
109-TZ-T01,Tanzania,PMO - US,From RDC,Truck,9-Mar-09,9-Mar-09,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,883,15011.0,17.0,0.57,70.0,1169.9,29.42
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,27-Feb-09,27-Feb-09,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,2976,5713.92,1.92,0.01,209.0,5463.97,11.2
123-NG-T01,Nigeria,PMO - US,From RDC,Air,3-Feb-09,3-Feb-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,11527,135096.44,11.72,0.39,983.0,5869.655000000001,264.79
510-KE-T01,Kenya,PMO - US,From RDC,Truck,8-Aug-08,8-Aug-08,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,168,5376.0,32.0,1.6,56.0,167.44,8.6
123-NG-T01,Nigeria,PMO - US,From RDC,Air,16-Feb-09,19-Jan-09,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,4124,6392.2,1.55,0.03,273.0,7363.74,12.53
112-NG-T01,Nigeria,PMO - US,From RDC,Air,24-Sep-08,24-Sep-08,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,903,1399.65,1.55,0.03,1047.0,5869.655000000001,2.24
106-HT-T01,Haiti,PMO - US,From RDC,Air,4-Nov-08,4-Nov-08,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,500,875.0,1.75,0.03,1047.0,5869.655000000001,1.72
130-NG-T01,Nigeria,PMO - US,From RDC,Air,24-Jul-08,24-Jul-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,1030,12071.6,11.72,0.39,251.0,1960.81,19.31
126-NG-T01,Nigeria,PMO - US,From RDC,Air,24-Jul-08,24-Jul-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,4500,36000.0,8.0,0.13,1047.0,5869.655000000001,57.6
114-UG-T01,Uganda,PMO - US,From RDC,Air,6-Jan-09,6-Jan-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,5131,60545.8,11.8,0.2,691.0,8252.73,118.67
114-UG-T01,Uganda,PMO - US,From RDC,Air,6-Jan-09,6-Jan-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,1082,2164.0,2.0,0.07,1047.0,5869.655000000001,4.24
117-ET-T01,Ethiopia,PMO - US,From RDC,Air,18-Feb-09,18-Feb-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,27000,102600.0,3.8,0.06,1047.0,5869.655000000001,201.1
123-NG-T01,Nigeria,PMO - US,From RDC,Air,30-Oct-08,30-Oct-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,5641,45974.15,8.15,0.14,1047.0,5869.655000000001,90.11
123-NG-T01,Nigeria,PMO - US,From RDC,Air,30-Oct-08,30-Oct-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,11527,138439.27,12.01,0.4,1047.0,5869.655000000001,271.34
123-NG-T01,Nigeria,PMO - US,From RDC,Air,31-Oct-08,31-Oct-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,2034,83597.4,41.1,0.34,1047.0,5869.655000000001,163.85
123-NG-T01,Nigeria,PMO - US,From RDC,Air,16-Feb-09,16-Feb-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,13473,148203.0,11.0,0.37,1146.0,3680.33,290.48
112-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,19-Mar-09,19-Mar-09,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,1033,1601.15,1.55,0.03,1047.0,5869.655000000001,3.14
151-NG-T01,Nigeria,PMO - US,From RDC,Air,24-Mar-09,24-Mar-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,662,17377.5,26.25,0.88,62.0,6443.61,34.06
151-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,19-Mar-09,19-Mar-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,11661,132935.4,11.4,0.19,1311.0,11492.86,260.55
151-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,19-Mar-09,19-Mar-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,370,4218.0,11.4,0.19,42.0,5869.655000000001,8.27
117-ET-T01,Ethiopia,PMO - US,From RDC,Air,18-Feb-09,18-Feb-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,5000,43800.0,8.76,0.15,403.0,1719.65,85.85
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,14-Nov-08,14-Nov-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,11550,36960.0,3.2,0.05,1047.0,5869.655000000001,59.14
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,23-Mar-09,23-Mar-09,ARV,Pediatric,SCMS from RDC,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,126,5178.6,41.1,0.14,1047.0,5869.655000000001,10.15
123-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,8-May-09,8-May-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,25000,275000.0,11.0,0.37,2267.0,15128.37,539.0
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,15-May-09,15-May-09,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,630,976.5,1.55,0.03,42.0,1217.37,1.91
113-ZW-T01,Zimbabwe,PMO - US,From RDC,Air,12-May-09,12-May-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,4000,16000.0,4.0,0.07,305.0,2698.04,31.36
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,28-Jun-09,28-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,17618,126849.6,7.2,0.12,1047.0,5869.655000000001,248.63
106-HT-T01,Haiti,PMO - US,From RDC,Air,22-May-09,22-May-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,7323,71179.56,9.72,0.32,631.0,7584.12,139.51
106-HT-T01,Haiti,PMO - US,From RDC,Air,22-May-09,22-May-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,10065,97831.8,9.72,0.32,1047.0,5869.655000000001,191.75
114-UG-T01,Uganda,PMO - US,From RDC,Air,22-May-09,22-May-09,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,60,89.4,1.49,0.02,4.0,526.41,0.18
110-ZM-T01,Zambia,PMO - US,From RDC,Truck,8-Jun-09,8-Jun-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,11546,127006.0,11.0,0.37,1047.0,5869.655000000001,248.93
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,11-Jun-09,11-Jun-09,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,10000,77100.0,7.71,0.13,1047.0,5869.655000000001,151.12
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,11-Jun-09,11-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,15000,173400.0,11.56,0.19,1047.0,5869.655000000001,339.86
112-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,16-Jun-09,16-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,1140,3306.0,2.9,0.05,1047.0,5869.655000000001,6.48
112-NG-T01,Nigeria,PMO - US,From RDC,Air,5-Jun-09,5-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,1747,15303.72,8.76,0.15,148.0,1012.18,30.0
123-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,16-Jun-09,16-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,3235,23033.2,7.12,0.12,1047.0,5869.655000000001,45.15
102-KE-T01,Kenya,PMO - US,From RDC,Air,28-May-09,28-May-09,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2500,80000.0,32.0,1.6,1047.0,5869.655000000001,156.8
106-HT-T01,Haiti,PMO - US,From RDC,Air,18-Jun-09,18-Jun-09,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,1428,3198.72,2.24,0.07,83.0,7789.85,6.27
114-UG-T01,Uganda,PMO - US,From RDC,Air,29-Jun-09,29-Jun-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,10372,119900.32,11.56,0.19,1312.0,14569.14,235.0
111-MZ-T01,Mozambique,PMO - US,From RDC,Truck,27-Aug-09,27-Aug-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,23100,87780.0,3.8,0.06,1047.0,5869.655000000001,172.05
151-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,4-Aug-09,4-Aug-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,5800,66120.0,11.4,0.19,654.0,7445.8,129.6
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air Charter,11-Aug-09,11-Aug-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,3280,31881.6,9.72,0.32,229.0,1854.88,62.49
151-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,4-Aug-09,4-Aug-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,5794,68079.5,11.75,0.39,1047.0,5869.655000000001,133.44
106-HT-T01,Haiti,PMO - US,From RDC,Air,31-Jul-09,31-Jul-09,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,525,6683.25,12.73,0.14,1047.0,5869.655000000001,13.1
107-RW-T01,Rwanda,PMO - US,From RDC,Air,31-Jul-09,31-Jul-09,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,8766,21389.04,2.44,0.04,447.0,4257.01,41.92
114-UG-T01,Uganda,PMO - US,From RDC,Air,24-Aug-09,24-Aug-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,1650,4785.0,2.9,0.05,1047.0,5869.655000000001,9.38
114-UG-T01,Uganda,PMO - US,From RDC,Air,28-Aug-09,28-Aug-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,34000,385900.0,11.35,0.19,1047.0,5869.655000000001,756.36
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,8-Sep-09,8-Sep-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,28170,319729.5,11.35,0.19,1047.0,5869.655000000001,626.67
113-ZW-T01,Zimbabwe,PMO - US,From RDC,Truck,22-Sep-09,22-Sep-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,4000,16000.0,4.0,0.07,1047.0,5869.655000000001,31.36
110-ZM-T01,Zambia,PMO - US,From RDC,Truck,19-Oct-09,19-Oct-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,15718,47154.0,3.0,0.05,1047.0,5869.655000000001,92.42
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,21-Sep-09,21-Sep-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,666,7825.5,11.75,0.39,54.0,1713.01,15.34
109-TZ-T01,Tanzania,PMO - US,From RDC,Truck,25-Sep-09,25-Sep-09,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,9243,235234.35,25.45,0.42,936.0,2233.61,461.06
151-NG-T01,Nigeria,PMO - US,From RDC,Air Charter,20-Oct-09,20-Oct-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,1756,20018.4,11.4,0.19,198.0,9341.49,39.24
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,25-Aug-09,7-Oct-09,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,1547,2970.24,1.92,0.01,581.0,1234.9,5.82
111-MZ-T01,Mozambique,PMO - US,From RDC,Truck,7-Oct-09,7-Oct-09,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,2592,6324.48,2.44,0.04,1047.0,5869.655000000001,12.4
117-ET-T01,Ethiopia,PMO - US,From RDC,Air,29-Sep-09,29-Sep-09,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,4234,10330.96,2.44,0.04,212.0,1489.4,20.25
100-LB-T01,Lebanon,PMO - US,From RDC,Air,18-Nov-09,18-Nov-09,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,50,0.5,0.01,0.0,1047.0,5869.655000000001,0.0
100-LB-T01,Lebanon,PMO - US,From RDC,Air,24-Nov-09,24-Nov-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200,2.0,0.01,0.0,1047.0,5869.655000000001,0.0
110-ZM-T01,Zambia,PMO - US,From RDC,Air,23-Oct-09,23-Oct-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,13941,80578.98,5.78,0.19,986.0,5097.09,173.73
114-UG-T01,Uganda,PMO - US,From RDC,Air,23-Nov-09,23-Nov-09,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,60,240.0,4.0,0.07,4.0,396.08,0.52
117-ET-T01,Ethiopia,PMO - US,From RDC,Air,2-Dec-09,2-Dec-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,4460,12934.0,2.9,0.05,250.0,1366.22,27.89
113-ZW-T01,Zimbabwe,PMO - US,From RDC,Unknown,23-Mar-07,23-Mar-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,7000,113750.0,16.25,0.54,581.0,1886.21,47.04
112-NG-T01,Nigeria,PMO - US,From RDC,Unknown,22-Feb-07,22-Feb-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,1200,2580.0,2.15,0.01,1047.0,5869.655000000001,47.04
107-RW-T01,Rwanda,PMO - US,From RDC,Air,10-Apr-07,10-Apr-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,500,16000.0,32.0,1.6,1047.0,5869.655000000001,47.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,1-Jun-07,1-Jun-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,650,2567.5,3.95,0.02,193.0,478.51,47.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,17-Apr-07,17-Apr-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,23035,385836.25,16.75,0.56,1047.0,5869.655000000001,47.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,17-Apr-07,17-Apr-07,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,540,1317.6,2.44,0.01,1047.0,5869.655000000001,47.04
100-BW-T01,Botswana,PMO - US,From RDC,Unknown,27-Apr-07,27-Apr-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,500,16000.0,32.0,1.6,164.0,1225.37,47.04
100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Unknown,30-Apr-07,30-Apr-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,8148,132405.0,16.25,0.54,742.0,2658.0,47.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,8-Jun-07,8-Jun-07,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,900,36990.0,41.1,0.34,1047.0,5869.655000000001,47.04
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Unknown,28-Jun-07,28-Jun-07,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,2100,75180.0,35.8,0.6,1047.0,5869.655000000001,120.29
112-NG-T01,Nigeria,PMO - US,From RDC,Unknown,3-Jul-07,3-Jul-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,538,1920.66,3.57,0.06,1047.0,5869.655000000001,3.07
110-ZM-T01,Zambia,PMO - US,From RDC,Air,15-Jun-07,15-Jun-07,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,192,4128.0,21.5,0.09,70.0,650.12,47.04
107-RW-T01,Rwanda,PMO - US,From RDC,Air,5-Jun-07,5-Jun-07,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,3431,11356.61,3.31,0.06,216.0,2520.47,47.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,11-Jul-07,11-Jul-07,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,1171,81970.0,70.0,1.17,1047.0,5869.655000000001,47.04
112-NG-T01,Nigeria,PMO - US,From RDC,Unknown,3-Jul-07,3-Jul-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,278,1098.1,3.95,0.02,1047.0,5869.655000000001,1.76
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,13-Jun-07,13-Jun-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,1844,6306.48,3.42,0.11,1047.0,5869.655000000001,47.04
117-ET-T01,Ethiopia,PMO - US,From RDC,Unknown,24-May-07,24-May-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,200,6400.0,32.0,1.6,1047.0,5869.655000000001,47.04
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Air,15-Jun-07,15-Jun-07,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,4374,37266.48,8.52,0.14,230.0,1432.0,47.04
109-TZ-T01,Tanzania,PMO - US,From RDC,Air,13-Aug-07,13-Aug-07,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,4776,170980.8,35.8,0.6,1047.0,5869.655000000001,273.57
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Unknown,14-Aug-07,14-Aug-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,5344,86893.44,16.26,0.54,1047.0,5869.655000000001,139.03
110-ZM-T01,Zambia,PMO - US,From RDC,Unknown,9-Jul-07,9-Jul-07,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,350,7525.0,21.5,0.09,124.0,874.57,12.04
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,10-Oct-07,10-Oct-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,7750,30612.5,3.95,0.02,1047.0,5869.655000000001,48.98
109-TZ-T01,Tanzania,PMO - US,From RDC,Air,30-Jul-07,30-Jul-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,11807,42150.99,3.57,0.06,1050.0,3291.0,67.44
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Unknown,3-Aug-07,3-Aug-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,23472,176040.0,7.5,0.12,1047.0,5869.655000000001,281.66
109-TZ-T01,Tanzania,PMO - US,From RDC,Unknown,10-Sep-07,10-Sep-07,ARV,Adult,SCMS from RDC,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,157,6022.52,38.36,0.11,1047.0,5869.655000000001,9.64
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,21-Sep-07,21-Sep-07,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,2744,6695.36,2.44,0.01,1047.0,5869.655000000001,10.71
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,21-Sep-07,21-Sep-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,2185,8630.75,3.95,0.02,1047.0,5869.655000000001,13.81
104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,Unknown,24-Aug-07,24-Aug-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,738,2560.86,3.47,0.12,1047.0,5869.655000000001,4.1
111-MZ-T01,Mozambique,PMO - US,From RDC,Air,21-Sep-07,21-Sep-07,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2500,80000.0,32.0,1.6,841.0,3818.4,128.0
110-ZM-T01,Zambia,PMO - US,From RDC,Air,29-Aug-07,29-Aug-07,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,30000,91200.0,3.04,0.05,1047.0,5869.655000000001,145.92
